estacion_origen,estacion_destino,troncal_origen,troncal_destino,id_trazado_origen,id_trazado_destino,distancia_km_real,area_origen_m2,area_destino_m2,capacidad_origen,capacidad_destino,accesos_origen,accesos_destino,misma_troncal,hora_viaje,dia_semana,hora_pico,lluvia,nivel_retraso
Normandía,Humedal Córdoba,El_Dorado,Suba,TZ016,TZ003,6.27,318.09,357.6,260,156,1,1,0,8,3,1,1,Medio
AV. 1 Mayo,San Bernardo,Carrera_10,Carrera_10,TZ018,TZ018,1.8,869.28,462.84,384,264,2,2,1,19,0,1,0,Bajo
Rionegro,Universidades – CityU,Suba,El_Dorado,TZ003,TZ016,8.42,356.84,491.4,144,260,1,2,0,22,6,0,0,Medio
Portal Américas,AV. Cali,Américas,Calle_80,TZ009,TZ005,11.45,0.0,568.6,342,304,1,1,0,20,0,0,0,Medio
Calle 26,Puentelargo,Caracas,Suba,TZ001,TZ003,8.55,638.82,357.44,0,200,2,1,0,7,4,1,0,Alto
Temporal Calle 57,Polo - FINCOMERCIO,Caracas,Calle_80,TZ001,TZ005,3.03,526.365,880.0,320,360,2,1,0,10,5,0,0,Bajo
Puente Aranda,Portal Tunal,Américas,Tunal,TZ009,TZ014,7.32,356.8,0.0,168,152,1,2,0,14,3,0,0,Bajo
Museo del Oro,CC Paseo Villa del Río - Madelena,Eje_Ambiental,Autopista_Sur,TZ015,TZ010,9.32,0.0,357.0,144,204,2,1,0,21,3,0,0,Alto
Hortúa,La Campiña,Caracas_Sur,Suba,TZ012,TZ003,16.88,401.8,357.24,192,352,2,1,0,17,3,1,0,Alto
Temporal Marly,Calle 76 - San Felipe,Caracas,Caracas,TZ001,TZ001,2.9,594.44,637.875,320,320,2,2,1,9,3,0,0,Bajo
Héroes,Biblioteca Tintal,Norte,Américas,TZ002,TZ009,11.48,669.6,896.4,264,304,1,2,0,10,1,0,0,Bajo
Santa Lucía,NQS - Calle 30 S,Caracas_Sur,Autopista_Sur,TZ012,TZ010,2.76,486.24,358.48,272,232,2,1,0,21,3,0,0,Medio
Niza - Calle 127,Alcalá – Colegio S. Tomás Dominicos,Suba,Norte,TZ003,TZ002,2.52,374.24,820.76,200,392,2,2,0,7,2,1,1,Medio
Las Aguas - Centro Colombo Americano,Santa Isabel,Eje_Ambiental,Autopista_Sur,TZ015,TZ010,3.79,0.0,357.04,120,240,3,1,0,20,6,0,0,Alto
Ricaurte - CL 13,Toberin - Foundever,Américas,Norte,TZ009,TZ002,15.56,736.8,1206.0,312,552,2,1,0,16,4,0,1,Medio
Quirigua,Calle 85,Calle_80,Norte,TZ005,TZ002,6.65,183.0,865.68,152,320,1,1,0,23,1,0,1,Medio
AV. 1 Mayo,Bosa,Carrera_10,Autopista_Sur,TZ018,TZ010,9.95,869.28,504.32,384,272,2,2,0,6,4,1,0,Alto
Pradera - Plaza Central,Ferias,Américas,Calle_80,TZ009,TZ005,7.9,268.83,183.0,200,152,1,1,0,4,3,0,0,Bajo
Portal Usme,Avenida Rojas - UNISALESIANA,Usme,El_Dorado,TZ013,TZ016,14.53,0.0,531.51,210,320,1,1,0,14,2,0,0,Medio
CAN,Alquería,El_Dorado,Autopista_Sur,TZ016,TZ010,7.03,289.44,357.0,260,204,1,1,0,15,6,0,0,Medio
Quiroga,Ferias,Caracas_Sur,Calle_80,TZ012,TZ005,13.11,345.4,183.0,144,152,1,1,0,13,4,0,0,Alto
Danubio,Las Aguas - Centro Colombo Americano,Usme,Eje_Ambiental,TZ013,TZ015,8.76,996.0,0.0,304,120,2,3,0,15,0,0,0,Alto
Santa Isabel,Suba - Calle 116,Autopista_Sur,Suba,TZ010,TZ003,11.44,357.04,386.4,240,200,1,1,0,20,1,0,0,Medio
Calle 187,Marsella,Norte,Américas,TZ002,TZ009,17.64,122.7,521.145,152,320,1,1,0,8,2,1,1,Alto
NQS - Calle 30 S,Tygua - San José,Autopista_Sur,Calle_13,TZ010,TZ007,3.27,358.48,486.68,232,228,1,2,0,18,2,1,0,Alto
Niza - Calle 127,Flores – Areandina,Suba,Caracas,TZ003,TZ001,6.43,374.24,384.125,200,192,2,2,0,22,5,0,0,Bajo
Polo - FINCOMERCIO,Suba - Calle 95,Calle_80,Suba,TZ005,TZ003,1.62,880.0,358.28,360,144,1,1,0,20,3,0,0,Medio
Calle 76 - San Felipe,San Martín,Caracas,Suba,TZ001,TZ003,1.62,637.875,357.48,320,192,2,1,0,20,4,0,1,Medio
Santa Isabel,Ricaurte - CL 13,Autopista_Sur,Américas,TZ010,TZ009,1.84,357.04,736.8,240,312,1,2,0,17,6,0,1,Medio
Terreros - Hospital Cardio Vascular,Suba - Calle 116,Soacha,Suba,TZ011,TZ003,18.89,358.0,386.4,356,200,1,1,0,5,1,0,0,Alto
Niza - Calle 127,Banderas,Suba,Américas,TZ003,TZ009,12.12,374.24,0.0,200,608,2,2,0,19,0,1,0,Medio
Quirigua,Concejo de Bogotá,Calle_80,El_Dorado,TZ005,TZ016,9.52,183.0,491.52,152,260,1,1,0,16,1,0,0,Medio
Danubio,Ferias,Usme,Calle_80,TZ013,TZ005,16.86,996.0,183.0,304,152,2,1,0,11,2,0,0,Alto
Country Sur,Modelia,Carrera_10,El_Dorado,TZ018,TZ016,11.7,461.24,288.87,264,260,2,1,0,14,3,0,0,Medio
Sevillana,Universidades – CityU,Autopista_Sur,El_Dorado,TZ010,TZ016,8.94,397.12,491.4,204,260,1,2,0,10,5,0,0,Medio
CC Paseo Villa del Río - Madelena,Ferias,Autopista_Sur,Calle_80,TZ010,TZ005,13.22,357.0,183.0,204,152,1,1,0,12,1,0,0,Medio
Portal Suba,Portal 80,Suba,Calle_80,TZ003,TZ005,4.49,0.0,0.0,304,165,1,1,0,15,0,0,0,Bajo
Ciudad Universitaria - Lotería de Bogotá,Carrera 43 - Comapan,El_Dorado,Américas,TZ016,TZ009,2.18,522.68,385.8,260,168,2,2,0,19,2,1,0,Medio
Salitre - El Greco,Movistar Arena,El_Dorado,NQS,TZ016,TZ008,2.58,289.44,491.28,260,272,1,1,0,20,3,0,0,Bajo
CAD,Quiroga,NQS,Caracas_Sur,TZ008,TZ012,6.17,520.28,345.4,272,144,2,1,0,15,3,0,1,Alto
Quiroga,Bicentenario,Caracas_Sur,Carrera_10,TZ012,TZ018,4.08,345.4,733.04,144,384,1,1,0,14,1,0,0,Alto
Country Sur,Calle 26,Carrera_10,Caracas,TZ018,TZ001,5.82,461.24,638.82,264,0,2,2,0,19,2,1,0,Medio
Sevillana,Virrey,Autopista_Sur,Norte,TZ010,TZ002,13.3,397.12,773.12,204,352,1,1,0,11,5,0,0,Medio
La Castellana,Las Nieves,NQS,Carrera_10,TZ008,TZ018,7.81,657.2,520.4,232,264,1,2,0,23,4,0,0,Bajo
NQS - Calle 30 S,Transversal 86,Autopista_Sur,Américas,TZ010,TZ009,5.79,358.48,347.13,232,240,1,1,0,9,1,0,0,Medio
Gobernación,Calle 142,El_Dorado,Norte,TZ016,TZ002,10.64,289.47,663.27,260,180,1,1,0,19,5,0,1,Medio
Calle 161,Portal Norte – Unicervantes,Norte,Norte,TZ002,TZ002,1.43,517.86,0.0,96,210,1,1,1,22,0,0,1,Medio
Prado,AV. 68,Norte,Calle_80,TZ002,TZ005,4.45,592.0,576.0,248,296,1,1,0,21,3,0,1,Bajo
Molinos,Perdomo,Caracas_Sur,Autopista_Sur,TZ012,TZ010,6.43,432.48,396.96,304,200,2,1,0,14,3,0,0,Medio
CDS - Carrera 32,Gratamira,Américas,Suba,TZ009,TZ003,12.56,385.72,357.4,168,144,2,1,0,10,1,0,0,Medio
Humedal Córdoba,Temporal Calle 22,Suba,Caracas,TZ003,TZ001,10.76,357.6,642.95,156,320,1,2,0,18,4,1,0,Medio
Venecia,Pepe Sierra,Autopista_Sur,Norte,TZ010,TZ002,14.96,423.72,418.48,204,200,1,1,0,17,5,0,1,Medio
Perdomo,Ciudad Universitaria - Lotería de Bogotá,Autopista_Sur,El_Dorado,TZ010,TZ016,9.83,396.96,522.68,200,260,1,2,0,12,0,0,0,Medio
San Martín,Calle 142,Suba,Norte,TZ003,TZ002,5.91,357.48,663.27,192,180,1,1,0,19,5,0,0,Bajo
Puente Aranda,Sevillana,Américas,Autopista_Sur,TZ009,TZ010,5.83,356.8,397.12,168,204,1,1,0,17,6,0,0,Medio
Bosa,El Tiempo – Cámara de Comercio de Bogotá,Autopista_Sur,El_Dorado,TZ010,TZ016,10.72,504.32,289.44,272,240,2,1,0,20,1,0,0,Medio
AV. Jiménez - Caracas,Carrera 47,Caracas,Calle_80,TZ001,TZ005,8.36,631.155,620.0,288,304,2,1,0,9,6,0,0,Bajo
Virrey,AV. Chile,Norte,NQS,TZ002,TZ008,2.03,773.12,694.56,352,344,1,2,0,9,1,0,0,Bajo
Portal Norte – Unicervantes,CAN,Norte,El_Dorado,TZ002,TZ016,13.34,0.0,289.44,210,260,1,1,0,11,0,0,0,Medio
Perdomo,Toberin - Foundever,Autopista_Sur,Norte,TZ010,TZ002,21.21,396.96,1206.0,200,552,1,1,0,23,2,0,0,Alto
CDS - Carrera 32,La Campiña,Américas,Suba,TZ009,TZ003,14.07,385.72,357.24,168,352,2,1,0,8,3,1,0,Medio
CAD,Portal El Dorado – C.C. Nuestro Bogotá,NQS,El_Dorado,TZ008,TZ016,7.67,520.28,0.0,272,216,2,1,0,8,2,1,0,Medio
Marsella,General Santander,Américas,Autopista_Sur,TZ009,TZ010,4.02,521.145,0.0,320,404,1,1,0,5,2,0,1,Medio
Hortúa,Calle 127,Caracas_Sur,Norte,TZ012,TZ002,13.27,401.8,418.28,192,200,2,1,0,19,6,0,1,Medio
La Despensa,Toberin - Foundever,Soacha,Norte,TZ011,TZ002,22.97,358.0,1206.0,224,552,1,1,0,23,6,0,0,Alto
Distrito Grafiti,Museo del Oro,Américas,Eje_Ambiental,TZ009,TZ015,5.21,347.145,0.0,272,144,1,2,0,18,6,0,0,Medio
Portal Norte – Unicervantes,7 de Agosto,Norte,NQS,TZ002,TZ008,11.38,0.0,492.92,210,260,1,1,0,17,6,0,0,Medio
Biblioteca,Calle 127,Tunal,Norte,TZ014,TZ002,17.16,0.0,418.28,60,200,1,1,0,6,2,1,0,Alto
Biblioteca Tintal,Calle 142,Américas,Norte,TZ009,TZ002,15.6,896.4,663.27,304,180,2,1,0,16,6,0,0,Medio
Tercer Milenio,Santa Isabel,Caracas,Autopista_Sur,TZ001,TZ010,2.12,644.0,357.04,320,240,2,1,0,11,5,0,0,Medio
Puentelargo,Suba - Calle 100,Suba,Suba,TZ003,TZ003,0.78,357.44,357.56,200,304,1,1,1,16,1,0,1,Bajo
Alquería,San Bernardo,Autopista_Sur,Carrera_10,TZ010,TZ018,5.55,357.0,462.84,204,264,1,2,0,8,0,1,1,Alto
Universidad Nacional,Calle 40 Sur,NQS,Caracas_Sur,TZ008,TZ012,8.18,833.59966667,719.68,412,392,2,2,0,8,4,1,0,Alto
Portal Américas,Venecia,Américas,Autopista_Sur,TZ009,TZ010,5.05,0.0,423.72,342,204,1,1,0,7,6,0,1,Medio
Salitre - El Greco,Hortúa,El_Dorado,Caracas_Sur,TZ016,TZ012,6.79,289.44,401.8,260,192,1,2,0,10,6,0,0,Medio
Escuela Militar,AV. 39,Calle_80,Caracas,TZ005,TZ001,5.41,488.0,644.0,272,312,1,2,0,11,6,0,1,Bajo
Concejo de Bogotá,CC Paseo Villa del Río - Madelena,El_Dorado,Autopista_Sur,TZ016,TZ010,9.11,491.52,357.0,260,204,1,1,0,18,6,0,0,Medio
Escuela Militar,El Tiempo – Cámara de Comercio de Bogotá,Calle_80,El_Dorado,TZ005,TZ016,4.47,488.0,289.44,272,240,1,1,0,19,0,1,0,Medio
Suba - Calle 116,AV. Jiménez - CL 13,Suba,Eje_Ambiental,TZ003,TZ015,10.74,386.4,0.0,200,272,1,1,0,5,5,0,0,Medio
Calle 40 Sur,Concejo de Bogotá,Caracas_Sur,El_Dorado,TZ012,TZ016,7.11,719.68,491.52,392,260,2,1,0,6,6,0,1,Medio
Portal Tunal,Portal Sur - JFK Coop. Financiera,Tunal,Autopista_Sur,TZ014,TZ010,4.51,0.0,0.0,152,228,2,2,0,11,0,0,0,Medio
Patio Bonito,Biblioteca,Américas,Tunal,TZ009,TZ014,7.95,896.4,0.0,304,60,2,1,0,21,3,0,1,Medio
Quinta Paredes,Temporal Calle 34,El_Dorado,Caracas,TZ016,TZ001,3.14,289.47,526.4,260,320,1,2,0,14,0,0,1,Medio
Transversal 86,Nariño,Américas,Caracas_Sur,TZ009,TZ012,8.36,347.13,353.96,240,144,1,1,0,13,0,0,1,Alto
AV. 1 Mayo,Banderas,Carrera_10,Américas,TZ018,TZ009,8.36,869.28,0.0,384,608,2,2,0,9,0,0,0,Medio
Calle 75 - Zona M,Sevillana,NQS,Autopista_Sur,TZ008,TZ010,11.86,463.24,397.12,272,204,1,1,0,16,2,0,0,Medio
NQS - Calle 38A S,Toberin - Foundever,Autopista_Sur,Norte,TZ010,TZ002,18.95,615.8,1206.0,212,552,1,1,0,19,6,0,0,Medio
Marsella,Bosa,Américas,Autopista_Sur,TZ009,TZ010,6.73,521.145,504.32,320,272,1,2,0,22,4,0,1,Medio
Portal Américas,Biblioteca,Américas,Tunal,TZ009,TZ014,8.09,0.0,0.0,342,60,1,1,0,20,1,0,1,Alto
Rionegro,CAN,Suba,El_Dorado,TZ003,TZ016,5.31,356.84,289.44,144,260,1,1,0,10,0,0,0,Medio
Bosa,Alquería,Autopista_Sur,Autopista_Sur,TZ010,TZ010,5.21,504.32,357.0,272,204,2,1,1,23,2,0,1,Medio
San Bernardo,Portal Norte – Unicervantes,Carrera_10,Norte,TZ018,TZ002,18.77,462.84,0.0,264,210,2,1,0,8,6,0,0,Medio
San Martín,La Castellana,Suba,NQS,TZ003,TZ008,0.32,357.48,657.2,192,232,1,1,0,5,6,0,0,Bajo
Pepe Sierra,Toberin - Foundever,Norte,Norte,TZ002,TZ002,5.42,418.48,1206.0,200,552,1,1,1,19,1,1,1,Bajo
Centro Memoria,Banderas,El_Dorado,Américas,TZ016,TZ009,7.79,520.04,0.0,260,608,2,2,0,4,4,0,0,Bajo
CDS - Carrera 32,Portal El Dorado – C.C. Nuestro Bogotá,Américas,El_Dorado,TZ009,TZ016,7.89,385.72,0.0,168,216,2,1,0,10,1,0,0,Bajo
CAD,San Martín,NQS,Suba,TZ008,TZ003,6.18,520.28,357.48,272,192,2,1,0,8,0,1,1,Medio
Tercer Milenio,Museo Nacional,Caracas,Carrera_7,TZ001,TZ019,2.5,644.0,0.0,320,240,2,1,0,23,0,0,1,Medio
Calle 19,Ricaurte - NQS,Caracas,NQS,TZ001,TZ008,1.93,638.715,996.188,320,392,2,2,0,18,5,0,1,Bajo
Biblioteca,Universidades – CityU,Tunal,El_Dorado,TZ014,TZ016,7.97,0.0,491.4,60,260,1,2,0,20,4,0,0,Medio
Calle 26,San Facon Carrera 22,Caracas,Américas,TZ001,TZ009,1.8,638.82,520.64,0,272,2,2,0,9,2,0,0,Medio
AV. Américas - AV. Boyacá,Calle 127,Américas,Norte,TZ009,TZ002,12.14,347.145,418.28,272,200,1,1,0,6,0,1,0,Medio
Museo del Oro,Calle 146,Eje_Ambiental,Norte,TZ015,TZ002,14.65,0.0,345.2,144,248,2,1,0,18,4,1,0,Alto
El Tiempo – Cámara de Comercio de Bogotá,Suba - Calle 100,El_Dorado,Suba,TZ016,TZ003,5.65,289.44,357.56,240,304,1,1,0,23,6,0,0,Bajo
Rionegro,Flores – Areandina,Suba,Caracas,TZ003,TZ001,2.84,356.84,384.125,144,192,1,2,0,20,6,0,0,Medio
Biblioteca Tintal,Calle 127,Américas,Norte,TZ009,TZ002,13.81,896.4,418.28,304,200,2,1,0,11,1,0,0,Bajo
Country Sur,Alquería,Carrera_10,Autopista_Sur,TZ018,TZ010,4.7,461.24,357.0,264,204,2,1,0,13,3,0,1,Medio
Calle 161,San Victorino,Norte,Carrera_10,TZ002,TZ018,16.0,517.86,791.2,96,384,1,2,0,19,2,1,0,Alto
Ciudad Jardín - UAN,Distrito Grafiti,Carrera_10,Américas,TZ018,TZ009,5.66,433.12,347.145,264,272,1,1,0,16,5,0,0,Bajo
Suba - TV. 91,Niza - Calle 127,Suba,Suba,TZ003,TZ003,3.41,1095.56,374.24,264,200,2,2,1,22,5,0,0,Bajo
Humedal Córdoba,Parque,Suba,Tunal,TZ003,TZ014,16.95,357.6,0.0,156,60,1,2,0,9,5,0,0,Alto
Calle 19,CAN,Caracas,El_Dorado,TZ001,TZ016,4.99,638.715,289.44,320,260,2,1,0,10,4,0,1,Medio
Mazurén,Restrepo,Norte,Caracas_Sur,TZ002,TZ012,17.94,552.416,480.68,248,200,1,2,0,5,2,0,0,Medio
Museo Nacional,Molinos,Carrera_7,Caracas_Sur,TZ019,TZ012,8.71,0.0,432.48,240,304,1,2,0,17,2,1,1,Alto
NQS - Calle 30 S,AV. Boyacá,Autopista_Sur,Calle_80,TZ010,TZ005,11.54,358.48,672.6,232,304,1,1,0,8,2,1,1,Alto
AV. Chile,Socorro,NQS,Caracas_Sur,TZ008,TZ012,12.64,694.56,329.6,344,200,2,1,0,7,2,1,0,Alto
Niza - Calle 127,Quinta Paredes,Suba,El_Dorado,TZ003,TZ016,8.6,374.24,289.47,200,260,2,1,0,15,0,0,0,Medio
Bicentenario,Fucha,Carrera_10,Caracas_Sur,TZ018,TZ012,2.3,733.04,320.16,384,144,1,1,0,7,5,0,0,Alto
Centro Memoria,Portal 80,El_Dorado,Calle_80,TZ016,TZ005,10.63,520.04,0.0,260,165,2,1,0,6,4,1,1,Alto
Portal Usme,Sevillana,Usme,Autopista_Sur,TZ013,TZ010,7.7,0.0,397.12,210,204,1,1,0,4,3,0,1,Medio
Ciudad Universitaria - Lotería de Bogotá,Bosa,El_Dorado,Autopista_Sur,TZ016,TZ010,11.47,522.68,504.32,260,272,2,2,0,18,2,1,0,Alto
Museo del Oro,San Martín,Eje_Ambiental,Suba,TZ015,TZ003,8.39,0.0,357.48,144,192,2,1,0,4,6,0,0,Medio
Ciudad Jardín - UAN,AV. 39,Carrera_10,Caracas,TZ018,TZ001,5.59,433.12,644.0,264,312,1,2,0,19,2,1,0,Medio
Concejo de Bogotá,Terminal,El_Dorado,Norte,TZ016,TZ002,16.4,491.52,146.37,260,152,1,1,0,20,0,0,1,Medio
San Mateo - CC Unisur,Calle 127,Soacha,Norte,TZ011,TZ002,21.33,492.8,418.28,424,200,3,1,0,21,4,0,0,Medio
Campín - UAN,AV. Boyacá,NQS,Calle_80,TZ008,TZ005,5.48,491.28,672.6,272,304,2,1,0,16,4,0,0,Bajo
Portal Américas,Suba - Calle 95,Américas,Suba,TZ009,TZ003,13.64,0.0,358.28,342,144,1,1,0,13,1,0,0,Medio
Quiroga,Humedal Córdoba,Caracas_Sur,Suba,TZ012,TZ003,15.22,345.4,357.6,144,156,1,1,0,14,2,0,0,Alto
Quirigua,Ciudad Universitaria - Lotería de Bogotá,Calle_80,El_Dorado,TZ005,TZ016,8.88,183.0,522.68,152,260,1,2,0,22,4,0,0,Medio
Suba - AV. Boyacá,Zona Industrial,Suba,Américas,TZ003,TZ009,11.53,707.0,385.16,144,168,2,2,0,23,2,0,0,Medio
AV. 39,Restrepo,Caracas,Caracas_Sur,TZ001,TZ012,6.18,644.0,480.68,312,200,2,2,0,21,6,0,0,Medio
Campín - UAN,Calle 45 - American School Way,NQS,Caracas,TZ008,TZ001,1.96,491.28,638.89,272,320,2,2,0,8,2,1,1,Medio
Carrera 47,AV. 68,Calle_80,Calle_80,TZ005,TZ005,1.25,620.0,576.0,304,296,1,1,1,18,1,1,0,Bajo
Calle 146,Santa Lucía,Norte,Caracas_Sur,TZ002,TZ012,19.62,345.2,486.24,248,272,1,2,0,11,2,0,0,Alto
AV. ElDorado,CAN,NQS,El_Dorado,TZ008,TZ016,2.79,192.4,289.44,260,260,1,1,0,16,6,0,0,Bajo
Movistar Arena,Ricaurte - CL 13,NQS,Américas,TZ008,TZ009,4.33,491.28,736.8,272,312,1,2,0,6,5,0,1,Bajo
Portal El Dorado – C.C. Nuestro Bogotá,Normandía,El_Dorado,El_Dorado,TZ016,TZ016,1.67,0.0,318.09,216,260,1,1,1,20,1,0,1,Bajo
Nariño,Corferias,Caracas_Sur,El_Dorado,TZ012,TZ016,5.36,353.96,424.28,144,252,1,1,0,10,3,0,0,Alto
La Campiña,Calle 127,Suba,Norte,TZ003,TZ002,5.89,357.24,418.28,352,200,1,1,0,5,1,0,0,Bajo
AV. 68,Prado,Calle_80,Norte,TZ005,TZ002,4.45,576.0,592.0,296,248,1,1,0,18,4,1,1,Medio
Portal Tunal,Temporal Calle 34,Tunal,Caracas,TZ014,TZ001,9.63,0.0,526.4,152,320,2,2,0,8,6,0,0,Medio
Humedal Córdoba,Quiroga,Suba,Caracas_Sur,TZ003,TZ012,15.22,357.6,345.4,156,144,1,1,0,5,3,0,0,Alto
Ferias,San Martín,Calle_80,Suba,TZ005,TZ003,2.52,183.0,357.48,152,192,1,1,0,18,4,1,1,Medio
Puentelargo,Carrera 47,Suba,Calle_80,TZ003,TZ005,1.86,357.44,620.0,200,304,1,1,0,13,6,0,0,Bajo
Carrera 47,NQS - Calle 30 S,Calle_80,Autopista_Sur,TZ005,TZ010,10.47,620.0,358.48,304,232,1,1,0,6,6,0,1,Alto
Calle 40 Sur,Portal Tunal,Caracas_Sur,Tunal,TZ012,TZ014,2.23,719.68,0.0,392,152,2,2,0,16,3,0,0,Medio
Molinos,San Victorino,Caracas_Sur,Carrera_10,TZ012,TZ018,6.94,432.48,791.2,304,384,2,2,0,16,0,0,0,Medio
Flores – Areandina,Pepe Sierra,Caracas,Norte,TZ001,TZ002,4.88,384.125,418.48,192,200,2,1,0,7,6,0,1,Medio
Tercer Milenio,Hospital,Caracas,Caracas_Sur,TZ001,TZ012,0.43,644.0,369.48,320,96,2,2,0,11,1,0,0,Alto
Fucha,Santa Isabel,Caracas_Sur,Autopista_Sur,TZ012,TZ010,2.11,320.16,357.04,144,240,1,1,0,19,5,0,0,Alto
Granja - Kr 77,Humedal Córdoba,Calle_80,Suba,TZ005,TZ003,2.88,1540.0,357.6,392,156,2,1,0,12,4,0,0,Bajo
Suba - TV. 91,Tygua - San José,Suba,Calle_13,TZ003,TZ007,15.47,1095.56,486.68,264,228,2,2,0,15,3,0,1,Medio
Portal Sur - JFK Coop. Financiera,Modelia,Autopista_Sur,El_Dorado,TZ010,TZ016,10.43,0.0,288.87,228,260,2,1,0,21,3,0,1,Alto
Calle 26,Portal 80,Caracas,Calle_80,TZ001,TZ005,11.2,638.82,0.0,0,165,2,1,0,10,6,0,0,Medio
Santa Lucía,Nariño,Caracas_Sur,Caracas_Sur,TZ012,TZ012,3.81,486.24,353.96,272,144,2,1,1,21,1,0,0,Medio
Marsella,Quinta Paredes,Américas,El_Dorado,TZ009,TZ016,4.2,521.145,289.47,320,260,1,1,0,7,5,0,1,Medio
Suba - TV. 91,San Bernardo,Suba,Carrera_10,TZ003,TZ018,16.54,1095.56,462.84,264,264,2,2,0,21,0,0,0,Medio
Toberin - Foundever,Las Aguas - Centro Colombo Americano,Norte,Eje_Ambiental,TZ002,TZ015,16.14,1206.0,0.0,552,120,1,3,0,16,0,0,0,Alto
CDS - Carrera 32,Alcalá – Colegio S. Tomás Dominicos,Américas,Norte,TZ009,TZ002,12.59,385.72,820.76,168,392,2,2,0,18,5,0,1,Medio
Carrera 53,Flores – Areandina,Calle_80,Caracas,TZ005,TZ001,3.39,183.0,384.125,152,192,1,2,0,11,6,0,1,Medio
Portal Norte – Unicervantes,Gratamira,Norte,Suba,TZ002,TZ003,4.38,0.0,357.4,210,144,1,1,0,22,3,0,0,Medio
Ciudad Universitaria - Lotería de Bogotá,Patio Bonito,El_Dorado,Américas,TZ016,TZ009,8.99,522.68,896.4,260,304,2,2,0,9,3,0,0,Bajo
AV. 1 Mayo,Portal Américas,Carrera_10,Américas,TZ018,TZ009,10.55,869.28,0.0,384,342,2,1,0,5,6,0,0,Medio
Paloquemao,Fucha,NQS,Caracas_Sur,TZ008,TZ012,3.93,491.4,320.16,272,144,1,1,0,23,1,0,0,Alto
General Santander,Universidad Nacional,Autopista_Sur,NQS,TZ010,TZ008,7.38,0.0,833.59966667,404,412,1,2,0,13,2,0,0,Medio
AV. Jiménez - Caracas,Ricaurte - CL 13,Caracas,Américas,TZ001,TZ009,1.59,631.155,736.8,288,312,2,2,0,19,5,0,0,Bajo
Calle 106 - Maletas Explora,Calle 187,Norte,Norte,TZ002,TZ002,7.93,627.42,122.7,248,152,1,1,1,18,1,1,1,Medio
Perdomo,Mazurén,Autopista_Sur,Norte,TZ010,TZ002,20.07,396.96,552.416,200,248,1,1,0,11,4,0,1,Alto
Portal Tunal,La Despensa,Tunal,Soacha,TZ014,TZ011,6.09,0.0,358.0,152,224,2,1,0,13,6,0,0,Medio
Biblioteca Tintal,León XIII,Américas,Soacha,TZ009,TZ011,6.32,896.4,358.0,304,224,2,1,0,10,1,0,1,Medio
León XIII,Temporal Calle 34,Soacha,Caracas,TZ011,TZ001,14.06,358.0,526.4,224,320,1,2,0,12,2,0,0,Medio
AV. 1 Mayo,Prado,Carrera_10,Norte,TZ018,TZ002,15.97,869.28,592.0,384,248,2,1,0,19,1,1,0,Medio
Centro Memoria,Calle 63,El_Dorado,Caracas,TZ016,TZ001,3.36,520.04,656.6,260,0,2,2,0,10,6,0,1,Medio
San Martín,Paloquemao,Suba,NQS,TZ003,TZ008,7.06,357.48,491.4,192,272,1,1,0,5,3,0,1,Medio
Las Nieves,Suba - Calle 95,Carrera_10,Suba,TZ018,TZ003,8.83,520.4,358.28,264,144,2,1,0,15,4,0,0,Medio
Restrepo,Carrera 53,Caracas_Sur,Calle_80,TZ012,TZ005,11.43,480.68,183.0,200,152,2,1,0,5,0,0,0,Medio
Humedal Córdoba,Banderas,Suba,Américas,TZ003,TZ009,11.77,357.6,0.0,156,608,1,2,0,12,1,0,0,Medio
Ciudad Jardín - UAN,Restrepo,Carrera_10,Caracas_Sur,TZ018,TZ012,1.23,433.12,480.68,264,200,1,2,0,23,4,0,0,Medio
Calle 187,Calle 40 Sur,Norte,Caracas_Sur,TZ002,TZ012,22.48,122.7,719.68,152,392,1,2,0,16,1,0,0,Alto
Biblioteca,Bicentenario,Tunal,Carrera_10,TZ014,TZ018,5.99,0.0,733.04,60,384,1,1,0,5,5,0,0,Medio
Danubio,Quinta Paredes,Usme,El_Dorado,TZ013,TZ016,10.88,996.0,289.47,304,260,2,1,0,19,1,1,0,Alto
CAD,Prado,NQS,Norte,TZ008,TZ002,10.72,520.28,592.0,272,248,2,1,0,6,1,1,0,Medio
Molinos,Suba - Calle 116,Caracas_Sur,Suba,TZ012,TZ003,16.83,432.48,386.4,304,200,2,1,0,13,5,0,0,Alto
Pepe Sierra,Calle 85,Norte,Norte,TZ002,TZ002,2.91,418.48,865.68,200,320,1,1,1,4,1,0,0,Bajo
AV. Américas - AV. Boyacá,Fucha,Américas,Caracas_Sur,TZ009,TZ012,6.51,347.145,320.16,272,144,1,1,0,21,2,0,0,Alto
Escuela Militar,Portal Norte – Unicervantes,Calle_80,Norte,TZ005,TZ002,9.18,488.0,0.0,272,210,1,1,0,12,0,0,0,Medio
Mazurén,Campín - UAN,Norte,NQS,TZ002,TZ008,10.44,552.416,491.28,248,272,1,2,0,17,6,0,1,Medio
CAN,Calle 40 Sur,El_Dorado,Caracas_Sur,TZ016,TZ012,8.24,289.44,719.68,260,392,1,2,0,19,1,1,1,Alto
Héroes,Guatoque - Veraguas,Norte,Calle_13,TZ002,TZ007,8.08,669.6,415.2,264,240,1,1,0,20,6,0,0,Bajo
